url,initial_status,redirect_location,final_url,final_status,canonical,robots,title,h1,link_count,html_chars,error
https://dreamlab.id/rahasia-maklon-parfum-jakarta/,308,/pabrik-parfum-jakarta/,https://dreamlab.id/pabrik-parfum-jakarta/,200,https://dreamlab.id/pabrik-parfum-jakarta/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Pabrik Parfum Jakarta Terpercaya Produksi Cepat,Pabrik Parfum Jakarta Solusi Brand Parfummu,62,222348,
https://dreamlab.id/shop/,308,/produk/,https://dreamlab.id/produk/,200,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",404 - Page Not Found | Dreamlab Maklon Kosmetik,,41,56054,
https://dreamlab.id/thankyou-page/,308,/thankyou/google/,https://dreamlab.id/thankyou/google/,200,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Dreamlab | Maklon Kosmetik &amp; Parfum BPOM Terbaik Indonesia,Terima Kasih!,42,60044,
https://dreamlab.id/thankyoupage-google/,308,/,https://dreamlab.id/,200,https://dreamlab.id/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Dreamlab | Maklon Kosmetik &amp; Parfum BPOM Terbaik - Wujudkan Brand Impian Anda,Jasa Maklon Skincare &amp; Kosmetik Terpercaya Indonesia,58,264090,
https://dreamlab.id/tren-parfum-arab-bisnis-maklon-dreamlab/,308,/produk-viral-tiktok/,https://dreamlab.id/produk-viral-tiktok/,200,https://dreamlab.id/produk-viral-tiktok/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Produk Viral TikTok Jadi Nyata di Lab,Dari TikTok ke Laboratorium Bagaimana Produk Viral Jadi Nyata,81,244730,
https://dreamlab.id/panduan/,200,,https://dreamlab.id/panduan/,200,https://dreamlab.id/panduan/,"index, follow",Panduan Maklon Skincare dan Kosmetik | Dreamlab,Panduan maklon skincare dan kosmetik untuk batch pertama,45,62917,
https://dreamlab.id/about-us/,200,,https://dreamlab.id/about-us/,200,https://dreamlab.id/about-us/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Dreamlab | Jasa Maklon Skincare &amp; Parfum BPOM Indonesia,Wujudkan Brand Kosmetik dalam 3 Bulan,45,161489,
https://dreamlab.id/contact-us/,200,,https://dreamlab.id/contact-us/,200,https://dreamlab.id/contact-us/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",DREAMLAB | Jasa Maklon Kosmetik Surabaya Jawa Timur,Wujudkan Brand Impian Anda,45,82829,
https://dreamlab.id/contact-medsos/,200,,https://dreamlab.id/contact-medsos/,200,https://dreamlab.id/contact-medsos/,"index, follow",Dreamlab Indonesia | Layanan Maklon Kosmetik &amp; Parfum Premium,,48,68766,
https://dreamlab.id/our-client/,200,,https://dreamlab.id/our-client/,200,https://dreamlab.id/our-client/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",DREAMLAB | Berikut 500++ Client Percaya produksi di Dreamlab,,42,126010,
https://dreamlab.id/career/,200,,https://dreamlab.id/career/,200,https://dreamlab.id/career/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Career | Dreamlab Indonesia,Berkarya. Bertumbuh. Berdampak.,43,77126,
https://dreamlab.id/terms-of-service/,200,,https://dreamlab.id/terms-of-service/,200,https://dreamlab.id/terms-of-service/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Terms of Service | Dreamlab Maklon Kosmetik,Terms of Service,42,64419,
https://dreamlab.id/privacy-policy/,200,,https://dreamlab.id/privacy-policy/,200,https://dreamlab.id/privacy-policy/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Privacy Policy | Dreamlab Maklon Kosmetik,Privacy Policy,43,63890,
https://dreamlab.id/category/maklon-kosmetik/,200,,https://dreamlab.id/category/maklon-kosmetik/,200,https://dreamlab.id/category/maklon-kosmetik/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Maklon Kosmetik Archives | Dreamlab Indonesia,Maklon Kosmetik,307,451690,
https://dreamlab.id/category/panduan-bisnis-kosmetik/,200,,https://dreamlab.id/category/panduan-bisnis-kosmetik/,200,https://dreamlab.id/category/panduan-bisnis-kosmetik/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Panduan Bisnis Kosmetik Archives | Dreamlab Indonesia,Panduan Bisnis Kosmetik,322,470323,
https://dreamlab.id/cara-hitunghpp-produk-kosmeti/,200,,https://dreamlab.id/cara-hitunghpp-produk-kosmeti/,200,https://dreamlab.id/cara-hitunghpp-produk-kosmeti/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Cara Hitung HPP Produk Kosmetik Agar Profit Maksimal,Cara Hitung HPP Produk Kosmetik Agar Profit Maksimal,63,239871,
https://dreamlab.id/cara-membuat-deodorant-balm-custom/,200,,https://dreamlab.id/cara-membuat-deodorant-balm-custom/,200,https://dreamlab.id/cara-membuat-deodorant-balm-custom/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Peluang Bisnis &amp; Cara Membuat Deodorant Balm Custom,Peluang Bisnis Deodorant Balm Anti Ribet,72,236984,
https://dreamlab.id/perbedaan-oem-vs-odm/,200,,https://dreamlab.id/perbedaan-oem-vs-odm/,200,https://dreamlab.id/perbedaan-oem-vs-odm/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",OEM vs ODM: Mana yang Cocok untuk Brand pemula,OEM vs ODM Mana yang Lebih Cocok untuk Brand Skincare Pemula,62,229534,
https://dreamlab.id/panduan-maklon-deodorant-bpom/,200,,https://dreamlab.id/panduan-maklon-deodorant-bpom/,200,https://dreamlab.id/panduan-maklon-deodorant-bpom/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Panduan membuat Deodorant BPOM &amp; Proses Cepat,Cara membuat deodoran BPOM yang diksukai konsumen,74,236393,
