query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
apa itu inspired,0,0,0,,8,1,7,0.0,0.0,,12.5,12.0,0.5,0,0,0,9,stable,informational,False
apa itu inspired parfum,0,0,0,,460,122,338,0.0,0.0,,9.6,4.6,5.0,0,0,0,585,stable,informational,False
apa itu keranjang,0,0,0,,0,1,-1,0.0,0.0,,,1.0,,0,0,0,1,stable,informational,False
apa itu kol,0,0,0,,0,4,-4,0.0,0.0,,,3.0,,0,0,0,7,stable,informational,False
apa itu kol affiliate,0,0,0,,0,29,-29,0.0,0.0,,,1.6,,0,0,0,53,stable,informational,False
apa itu kol marketing,0,0,0,,0,1,-1,0.0,0.0,,,3.0,,0,0,0,1,stable,informational,False
apa itu maklom,0,0,0,,1,0,1,0.0,0.0,,13.0,,,0,0,0,1,stable,informational,False
apa itu moisturizer cream,0,0,0,,7,1,6,0.0,0.0,,16.9,45.0,-28.1,0,0,0,8,stable,informational,False
apa itu panthenol,0,0,0,,14,9,5,0.0,0.0,,43.7,67.9,-24.2,0,0,0,31,stable,informational,False
apa itu panthenol dalam skincare,0,0,0,,0,1,-1,0.0,0.0,,,1.0,,0,0,0,1,stable,informational,False
apa itu parfum edp dan edt,0,0,0,,1,0,1,0.0,0.0,,1.0,,,0,0,0,1,stable,informational,False
apa itu parfum edt,0,0,0,,8,0,8,0.0,0.0,,11.0,,,0,0,0,8,stable,informational,False
apa itu parfum inspired,0,0,0,,126,49,77,0.0,0.0,,7.3,4.7,2.6,0,0,0,175,stable,informational,False
apa itu pheromone,0,0,0,,3,0,3,0.0,0.0,,20.7,,,0,0,0,3,stable,informational,False
apa itu rc,0,0,0,,0,1,-1,0.0,0.0,,,3.0,,0,0,0,1,stable,informational,False
apa itu sampel gratis tiktok,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
apa itu timteng parfum,0,0,0,,0,1,-1,0.0,0.0,,,3.0,,0,0,0,1,stable,informational,False
apa itu toko kosmetik,0,0,0,,22,0,22,0.0,0.0,,12.2,,,0,0,0,22,stable,informational,False
apa itu witch hazel,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
apa kegunaan astaxanthin,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
apa kegunaan hair tonic,0,0,0,,1,0,1,0.0,0.0,,45.0,,,0,0,0,1,stable,informational,False
apa kegunaan panthenol,0,0,0,,0,1,-1,0.0,0.0,,,14.0,,0,0,0,1,stable,informational,False
apa kegunaannya?,0,0,0,,1,0,1,0.0,0.0,,6.0,,,0,0,0,1,stable,informational,False
apa manfaat astaxanthin,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,informational,False
apa manfaat astaxanthin glutathione,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,informational,False
apa manfaat ginseng untuk rambut,0,0,0,,4,0,4,0.0,0.0,,12.0,,,0,0,0,4,stable,informational,False
apa manfaat hair tonic,0,0,0,,2,0,2,0.0,0.0,,44.0,,,0,0,0,2,stable,informational,False
apa manfaat hair tonic ginseng,0,0,0,,4,0,4,0.0,0.0,,9.2,,,0,0,0,4,stable,informational,False
apa manfaat panthenol untuk wajah,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,16,stable,informational,False
apa panthenol,0,0,0,,0,8,-8,0.0,0.0,,,1.0,,0,0,0,9,stable,informational,False
apa pelembab wajah terbaik untuk kulit kering?,0,0,0,,1,0,1,0.0,0.0,,5.0,,,0,0,0,1,stable,informational,False
apa penyebab kulit susah putih,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,informational,False
apa produk terbaik untuk memutihkan ketiak perempuan dengan cepat?,0,0,0,,0,2,-2,0.0,0.0,,,1.5,,0,0,0,2,stable,informational,False
apa saja,0,0,0,,1,0,1,0.0,0.0,,5.0,,,0,0,0,1,stable,informational,False
apa saja yang dibutuhkan,0,0,0,,1,0,1,0.0,0.0,,1.0,,,0,0,0,1,stable,informational,False
apa yang dimaksud hb dosting,0,0,0,,1,0,1,0.0,0.0,,11.0,,,0,0,0,1,stable,informational,False
apakah absolute sama dengan alkohol,0,0,0,,0,1,-1,0.0,0.0,,,2.0,,0,0,0,1,stable,informational,False
apakah ada merek perawatan tubuh terkemuka yang layak dipertimbangkan tahun ini?,0,0,0,,5,0,5,0.0,0.0,,1.0,,,0,0,0,5,stable,informational,False
apakah ada syarat,0,0,0,,1,0,1,0.0,0.0,,10.0,,,0,0,0,1,stable,informational,False
apakah alkohol 70 bisa untuk parfum,0,0,0,,0,1,-1,0.0,0.0,,,3.0,,0,0,0,1,stable,informational,False
apakah alkohol medis bisa untuk parfum,0,0,0,,19,10,9,0.0,0.0,,8.7,1.0,7.7,0,0,0,33,stable,informational,False
apakah alkohol parfum sama dengan alkohol biasa,0,0,0,,1,0,1,0.0,0.0,,1.0,,,0,0,0,1,stable,informational,False
apakah astaxanthin bisa memutihkan kulit,0,0,0,,2,1,1,0.0,0.0,,23.0,16.0,7.0,0,0,0,11,stable,informational,False
apakah astaxanthin bisa menghilangkan flek hitam,0,0,0,,48,19,29,0.0,0.0,,9.3,1.0,8.3,0,0,0,123,stable,informational,False
