url,page_path,current_clicks,previous_clicks,clicks_delta,clicks_pct_change,current_ctr_pct,previous_ctr_pct,ctr_delta_pp,current_position,previous_position,position_delta,c30_clicks,p30_clicks,c30_impressions,c90_impressions,p90_impressions,clicks_16m,impressions_16m,traffic_delta,potential_opportunity,priority_score,business_intent,page_type,money_page,blog,category_page,landing_page,knowledge_page
https://dreamlab.id/waterless-beauty-2025/,/waterless-beauty-2025/,6,1,5,500.0,13.64,1.19,12.45,4.2,7.2,-3.1,2,1,10,44,84,10,177,5,0.0,43.1,commercial,article,True,True,False,False,True
https://dreamlab.id/maklon-parfum-anak-custom-aroma/,/maklon-parfum-anak-custom-aroma/,10,5,5,100.0,6.85,3.42,3.42,5.6,24.6,-19.0,5,2,39,146,146,19,503,5,0.0,48.8,commercial,service,True,False,False,False,False
https://dreamlab.id/perbedaan-bpom-notifikasi-vs-izin-edar-kosmetik/,/perbedaan-bpom-notifikasi-vs-izin-edar-kosmetik/,5,0,5,100,2.45,0.0,2.45,7.5,,,4,1,172,204,0,5,204,5,5.2,50.5,commercial,article,True,True,False,False,True
https://dreamlab.id/jenis-vitamin-c-whitening-terbaik/,/jenis-vitamin-c-whitening-terbaik/,5,0,5,100,0.82,0.0,0.82,14.4,6.2,8.3,3,2,207,307,97,5,404,5,5.2,32.5,informational,article,False,True,False,False,True
https://dreamlab.id/maklon-kosmetik-jakarta-skala-besar/,/maklon-kosmetik-jakarta-skala-besar/,5,0,5,100,13.51,0.0,13.51,7.7,,,5,0,37,37,0,5,37,5,0.0,42.3,commercial,service,True,False,False,False,False
https://dreamlab.id/parfum-pheromone-bisnis-parfum/,/parfum-pheromone-bisnis-parfum/,5,0,5,100,0.45,0.0,0.45,6.8,,,1,3,419,585,0,5,585,5,26.6,56.0,commercial,article,True,True,False,False,True
https://dreamlab.id/affiliate-kol-brand-skincare/,/affiliate-kol-brand-skincare/,6,1,5,500.0,0.51,0.04,0.47,9.9,4.4,5.4,0,2,324,1167,2342,24,8125,5,52.4,59.8,commercial,article,True,True,False,False,True
https://www.dreamlab.id/produk/haircare/hair-mask/,/produk/haircare/hair-mask/,5,0,5,100,10.0,0.0,10.0,7.2,,,0,5,6,26,0,5,26,5,0.0,40.6,commercial,product,True,False,False,False,False
https://dreamlab.id/baby-care/,/baby-care/,12,8,4,50.0,2.18,1.1,1.08,19.7,26.2,-6.5,4,5,48,551,728,26,4725,4,1.8,55.2,commercial,company_or_service,True,False,False,True,False
https://dreamlab.id/jasa-maklon-sunscreen-terbaik/,/jasa-maklon-sunscreen-terbaik/,4,0,4,100,0.62,0.0,0.62,9.4,,,2,0,127,330,0,4,330,4,14.5,53.0,commercial,service_landing,True,False,False,True,False
https://dreamlab.id/8-tren-kecantikan-2026-smart-formula/,/8-tren-kecantikan-2026-smart-formula/,12,8,4,50.0,0.73,0.92,-0.19,9.1,8.9,0.2,4,5,134,872,874,27,2196,4,37.3,38.1,informational,article,False,True,False,False,True
https://dreamlab.id/parfum-arab-ide-bisnis-2026/,/parfum-arab-ide-bisnis-2026/,9,5,4,80.0,3.73,1.62,2.11,6.6,6.3,0.3,3,4,49,241,308,20,974,4,3.1,51.3,commercial,article,True,True,False,False,True
https://dreamlab.id/produk/bodycare/deodorant-spray/,/produk/bodycare/deodorant-spray/,4,0,4,100,18.18,0.0,18.18,6.3,,,4,0,22,22,0,4,22,4,0.0,39.8,commercial,product,True,False,False,False,False
https://www.dreamlab.id/maklon-hair-care/hair-mask/,/maklon-hair-care/hair-mask/,4,0,4,100,20.0,0.0,20.0,23.2,,,0,4,0,16,0,4,16,4,0.0,38.2,commercial,service,True,False,False,False,False
https://dreamlab.id/our-client/,/our-client/,5,1,4,400.0,3.32,0.72,2.6,18.6,8.7,9.8,2,1,84,264,138,19,3121,4,0.0,51.6,commercial,article,True,True,False,False,True
https://dreamlab.id/maklon-kosmetik-kediri/,/maklon-kosmetik-kediri/,4,0,4,100,1.63,0.0,1.63,8.3,6.4,2.0,0,1,25,133,71,4,204,4,4.5,48.5,commercial,service,True,False,False,False,False
