url,page_path,current_clicks,previous_clicks,clicks_delta,clicks_pct_change,current_ctr_pct,previous_ctr_pct,ctr_delta_pp,current_position,previous_position,position_delta,c30_clicks,p30_clicks,c30_impressions,c90_impressions,p90_impressions,clicks_16m,impressions_16m,traffic_delta,potential_opportunity,priority_score,business_intent,page_type,money_page,blog,category_page,landing_page,knowledge_page
https://dreamlab.id/parfum-balm-vs-parfum-oil/,/parfum-balm-vs-parfum-oil/,3,5,-2,-40.0,0.38,0.97,-0.58,7.4,4.6,2.8,0,1,98,404,518,15,2072,-2,18.7,54.0,commercial,article,True,True,False,False,True
https://dreamlab.id/maklon-kosmetik-jakarta-dreamlab-2026/,/maklon-kosmetik-jakarta-dreamlab-2026/,0,1,-1,-100.0,0.49,0.36,0.13,17.8,15.4,2.4,0,0,0,0,280,2,411,-1,8.3,53.9,brand,service,True,False,False,False,False
https://dreamlab.id/pabrik-maklon-parfum-bekasi/,/pabrik-maklon-parfum-bekasi/,13,0,13,100,3.09,0.0,3.09,16.9,,,6,4,100,421,0,13,421,13,0.0,53.9,commercial,service_landing,True,False,False,True,False
https://dreamlab.id/maklon-kosmetik-tangerang-terpercaya/,/maklon-kosmetik-tangerang-terpercaya/,6,5,1,20.0,0.74,0.84,-0.1,13.2,14.1,-0.9,3,2,148,412,595,11,1054,1,7.3,53.9,commercial,service,True,False,False,False,False
https://dreamlab.id/rahasia-maklon-parfum-jakarta/,/rahasia-maklon-parfum-jakarta/,0,7,-7,-100.0,2.84,2.86,-0.01,11.1,10.1,1.1,0,0,0,0,245,12,422,-7,0.0,53.9,commercial,article,True,True,False,False,True
https://dreamlab.id/news-blog/,/news-blog/,4,2,2,100.0,1.1,1.09,0.01,24.3,32.1,-7.8,0,1,58,415,184,7,770,2,0.4,53.8,commercial,blog,True,True,False,False,False
https://dreamlab.id/basic-skincare-pria-wajib/,/basic-skincare-pria-wajib/,1,1,0,0.0,0.12,0.29,-0.17,11.1,14.4,-3.3,0,0,113,403,344,4,1190,0,9.6,53.8,commercial,article,True,True,False,False,True
https://dreamlab.id/parfum/,/parfum/,9,15,-6,-40.0,1.16,1.61,-0.45,36.3,15.0,21.3,2,3,93,395,929,31,2717,-6,0.2,53.6,commercial,company_or_service,True,False,False,True,False
https://dreamlab.id/panduan-lengkap-maklon-skincare-untuk-pemilik-brand-baru-dan-klien-aktif/,/panduan-lengkap-maklon-skincare-untuk-pemilik-brand-baru-dan-klien-aktif/,0,0,0,,1.06,0.0,1.06,42.5,,,0,0,0,0,0,4,377,0,0.5,53.4,commercial,article,True,True,False,False,True
https://dreamlab.id/maklon-parfum-makassar/,/maklon-parfum-makassar/,17,4,13,325.0,2.42,1.79,0.64,7.7,8.8,-1.2,10,3,89,356,224,24,805,13,9.2,53.2,commercial,service,True,False,False,False,False
