url,page_path,current_clicks,previous_clicks,clicks_delta,clicks_pct_change,current_ctr_pct,previous_ctr_pct,ctr_delta_pp,current_position,previous_position,position_delta,c30_clicks,p30_clicks,c30_impressions,c90_impressions,p90_impressions,clicks_16m,impressions_16m,traffic_delta,potential_opportunity,priority_score,business_intent,page_type,money_page,blog,category_page,landing_page,knowledge_page
https://dreamlab.id/manfaat-hair-tonic-ginseng-rambut/,/manfaat-hair-tonic-ginseng-rambut/,2,2,0,0.0,0.06,0.69,-0.63,16.6,8.0,8.6,2,0,721,1104,288,4,1392,0,26.9,39.0,informational,article,False,True,False,False,True
https://dreamlab.id/industri-kosmetik-indonesia-terus-tumbuh/,/industri-kosmetik-indonesia-terus-tumbuh/,56,94,-38,-40.4,3.39,4.05,-0.66,8.5,6.8,1.7,11,17,248,1653,2320,479,9951,-38,26.6,40.9,local,article,False,True,False,False,True
https://dreamlab.id/parfum-pheromone-bisnis-parfum/,/parfum-pheromone-bisnis-parfum/,5,0,5,100,0.45,0.0,0.45,6.8,,,1,3,419,585,0,5,585,5,26.6,56.0,commercial,article,True,True,False,False,True
https://dreamlab.id/tren-parfum-arab-bisnis-maklon-dreamlab/,/tren-parfum-arab-bisnis-maklon-dreamlab/,0,8,-8,-100.0,2.38,2.16,0.22,5.0,4.4,0.6,0,0,0,0,370,24,1007,-8,26.4,38.6,brand,article,False,True,False,False,True
https://dreamlab.id/cara-buat-parfum-sendiri-dengan-maklon/,/cara-buat-parfum-sendiri-dengan-maklon/,1,1,0,0.0,0.1,1.96,-1.86,9.4,8.3,1.0,0,0,225,524,51,2,575,0,25.7,55.4,commercial,article,True,True,False,False,True
https://dreamlab.id/manfaat-panthenol-untuk-wajah-kering/,/manfaat-panthenol-untuk-wajah-kering/,0,0,0,,0.0,0.0,0.0,12.1,15.5,-3.4,0,0,311,975,1163,2,4290,0,24.4,38.4,informational,article,False,True,False,False,True
https://dreamlab.id/tips-sukses-bisnis-parfum/,/tips-sukses-bisnis-parfum/,0,0,0,,0.39,0.0,0.39,8.9,10.7,-1.8,0,0,0,0,82,2,516,0,23.8,55.3,commercial,article,True,True,False,False,True
https://dreamlab.id/perbedaan-edp-edt/,/perbedaan-edp-edt/,0,0,0,,0.0,0.0,0.0,30.4,8.6,21.8,0,0,357,1984,42,1,3942,0,23.8,41.7,informational,article,False,True,False,False,True
https://dreamlab.id/jenis-packaging-box-parfum/,/jenis-packaging-box-parfum/,4,2,2,100.0,0.83,1.0,-0.17,3.9,7.5,-3.5,1,2,81,242,201,6,443,2,22.2,31.7,informational,article,False,True,False,False,True
https://dreamlab.id/tren-aroma-parfum-2026-terbaru/,/tren-aroma-parfum-2026-terbaru/,13,7,6,85.7,2.44,0.71,1.73,8.7,4.9,3.8,4,4,126,868,983,31,2535,6,22.2,37.8,informational,article,False,True,False,False,True
https://dreamlab.id/rekomendasi-sunscreen-lokal/,/rekomendasi-sunscreen-lokal/,4,2,2,100.0,0.41,0.44,-0.03,10.5,12.4,-1.8,0,2,49,978,459,6,2275,2,20.4,58.3,commercial,article,True,True,False,False,True
https://dreamlab.id/atur%E2%80%91kosmetik%E2%80%91halal%E2%80%91dreamlab/,/atur%E2%80%91kosmetik%E2%80%91halal%E2%80%91dreamlab/,0,0,0,,0.24,0.0,0.24,8.8,,,0,0,0,0,0,1,411,0,19.6,34.1,brand,article,False,True,False,False,True
https://dreamlab.id/blog/,/blog/,0,0,0,,0.25,0.0,0.25,9.6,,,0,0,0,0,0,1,408,0,19.4,54.1,commercial,blog,True,True,False,False,False
https://dreamlab.id/astaxanthin-mengapa-bahan-aktif-ini-sedang-naik-daun-di-industri-kosmetik/,/astaxanthin-mengapa-bahan-aktif-ini-sedang-naik-daun-di-industri-kosmetik/,2,2,0,0.0,0.13,0.63,-0.51,19.2,15.7,3.5,1,1,277,805,317,7,2274,0,19.1,37.3,informational,article,False,True,False,False,True
https://dreamlab.id/parfum-balm-vs-parfum-oil/,/parfum-balm-vs-parfum-oil/,3,5,-2,-40.0,0.38,0.97,-0.58,7.4,4.6,2.8,0,1,98,404,518,15,2072,-2,18.7,54.0,commercial,article,True,True,False,False,True
https://dreamlab.id/prediksi-tren-2026/,/prediksi-tren-2026/,0,6,-6,-100.0,4.38,0.93,3.45,6.8,7.6,-0.8,0,0,0,0,643,129,2943,-6,18.1,43.5,informational,article,False,True,False,False,True
https://dreamlab.id/panduan-persentase-manfaat-niacinamide-skincare/,/panduan-persentase-manfaat-niacinamide-skincare/,1,0,1,100,0.14,0.0,0.14,7.4,9.7,-2.3,0,0,48,366,33,1,399,1,17.8,33.6,informational,article,False,True,False,False,True
https://dreamlab.id/atur%E2%80%91kosmetik%E2%80%91halal%E2%80%912026%E2%80%91dreamlab/,/atur%E2%80%91kosmetik%E2%80%91halal%E2%80%912026%E2%80%91dreamlab/,0,0,0,,0.29,0.0,0.29,9.2,,,0,0,0,0,0,1,347,0,16.3,33.3,brand,article,False,True,False,False,True
https://dreamlab.id/strategi-tiktok-shop-campaign-gratis/,/strategi-tiktok-shop-campaign-gratis/,1,2,-1,-50.0,0.29,0.56,-0.27,9.0,7.2,1.8,0,1,40,342,354,10,1433,-1,16.1,53.2,commercial,article,True,True,False,False,True
https://dreamlab.id/state-of-beauty-2025-tren-kecantikan-pertumbuhan-industri-kosmetik-perubahan-pasar/,/state-of-beauty-2025-tren-kecantikan-pertumbuhan-industri-kosmetik-perubahan-pasar/,6,13,-7,-53.8,1.37,1.0,0.37,9.6,7.2,2.3,1,2,20,439,1302,287,7269,-7,16.0,34.4,informational,article,False,True,False,False,True
https://dreamlab.id/cara-ampuh-memutihkan-ketiak/,/cara-ampuh-memutihkan-ketiak/,0,2,-2,-100.0,0.0,0.22,-0.22,15.8,22.3,-6.5,0,0,105,639,904,5,3292,-2,16.0,36.2,informational,article,False,True,False,False,True
https://dreamlab.id/cara-menentukan-harga-jual-produk-kosmetik/,/cara-menentukan-harga-jual-produk-kosmetik/,3,9,-6,-66.7,2.35,0.94,1.41,8.1,6.8,1.3,1,2,118,591,959,19,2448,-6,15.7,55.8,commercial,article,True,True,False,False,True
https://dreamlab.id/pabrik-parfum-jakarta/,/pabrik-parfum-jakarta/,37,8,29,362.5,1.4,1.47,-0.07,17.0,16.7,0.3,8,21,234,1337,543,57,2560,29,14.7,59.7,commercial,service_landing,True,False,False,True,False
https://dreamlab.id/jasa-maklon-sunscreen-terbaik/,/jasa-maklon-sunscreen-terbaik/,4,0,4,100,0.62,0.0,0.62,9.4,,,2,0,127,330,0,4,330,4,14.5,53.0,commercial,service_landing,True,False,False,True,False
https://dreamlab.id/perbedaan-moisturizer-gel-vs-cream/#Moisturizer_Cream_dan_Moisturizer_Gel,/perbedaan-moisturizer-gel-vs-cream/#Moisturizer_Cream_dan_Moisturizer_Gel/,0,0,0,,0.0,0.0,0.0,7.3,9.8,-2.5,0,0,151,287,55,0,446,0,14.4,32.3,informational,article,False,True,False,False,True
https://dreamlab.id/perbedaan-moisturizer-gel-vs-cream/#Buat_produk_Moisturizer_dengan_Nama_Brandmu_Sendiri,/perbedaan-moisturizer-gel-vs-cream/#Buat_produk_Moisturizer_dengan_Nama_Brandmu_Sendiri/,0,0,0,,0.0,0.0,0.0,7.3,9.8,-2.5,0,0,143,277,54,0,435,0,13.8,52.1,commercial,article,True,True,False,False,True
https://dreamlab.id/ide-bisnis-kosmetik/,/ide-bisnis-kosmetik/,0,0,0,,0.66,0.0,0.66,7.2,,,0,0,0,0,0,2,305,0,13.3,52.6,commercial,article,True,True,False,False,True
https://dreamlab.id/biaya-maklon-parfum-moq-kecil/,/biaya-maklon-parfum-moq-kecil/,13,6,7,116.7,0.84,0.81,0.03,11.4,8.5,3.0,7,4,336,785,744,20,1598,7,13.0,57.1,commercial,article,True,True,False,False,True
https://dreamlab.id/perbedaan-moisturizer-gel-vs-cream/#Cara_Membuat_Brand_Moisturizer,/perbedaan-moisturizer-gel-vs-cream/#Cara_Membuat_Brand_Moisturizer/,0,0,0,,0.0,0.0,0.0,7.2,9.8,-2.6,0,0,141,258,54,0,411,0,12.9,51.8,commercial,article,True,True,False,False,True
https://dreamlab.id/cara-membuat-lulur-ampas-kopi/,/cara-membuat-lulur-ampas-kopi/,0,0,0,,0.0,0.0,0.0,10.0,6.2,3.8,0,0,135,256,192,0,448,0,12.8,31.7,informational,article,False,True,False,False,True
https://dreamlab.id/jadwalkanvisitmeeting.php,/jadwalkanvisitmeeting.php/,7,3,4,133.3,0.9,0.43,0.47,10.1,9.9,0.2,1,6,246,779,693,17,4146,4,12.5,57.1,commercial,article,True,True,False,False,True
https://dreamlab.id/slug-maklon-kosmetik-indonesia-vs-china/,/slug-maklon-kosmetik-indonesia-vs-china/,2,1,1,100.0,0.75,0.48,0.28,9.1,8.4,0.7,0,2,120,265,209,6,1010,1,11.3,51.9,commercial,article,True,True,False,False,True
https://dreamlab.id/cara-membuat-masker-wajah-organik-praktis-aman-dan-cocok-untuk-ide-bisnis-skincare/,/cara-membuat-masker-wajah-organik-praktis-aman-dan-cocok-untuk-ide-bisnis-skincare/,0,0,0,,0.38,0.0,0.38,19.4,,,0,0,0,0,0,2,531,0,11.3,55.2,commercial,article,True,True,False,False,True
https://dreamlab.id/cara-meracik-handbody-pemutih-alami/#Panduan_Cara_Meracik_Handbody_Pemutih_Kulit_DIY,/cara-meracik-handbody-pemutih-alami/#Panduan_Cara_Meracik_Handbody_Pemutih_Kulit_DIY/,0,0,0,,0.0,0.0,0.0,8.5,,,0,0,0,220,0,0,220,0,11.0,31.0,informational,article,False,True,False,False,True
https://dreamlab.id/cara-meracik-handbody-pemutih-alami/#Manfaat_Nyata_Kandungan_Alami_untuk_Kulit,/cara-meracik-handbody-pemutih-alami/#Manfaat_Nyata_Kandungan_Alami_untuk_Kulit/,0,0,0,,0.0,0.0,0.0,8.5,,,0,0,0,220,0,0,220,0,11.0,31.0,informational,article,False,True,False,False,True
https://dreamlab.id/perbedaan-privatelabel-vsodm/,/perbedaan-privatelabel-vsodm/,0,1,-1,-100.0,0.0,0.2,-0.2,9.3,6.7,2.5,0,0,41,215,491,3,1024,-1,10.8,50.9,commercial,article,True,True,False,False,True
https://dreamlab.id/maklon-kosmetik-parfum-tangerang/,/maklon-kosmetik-parfum-tangerang/,0,9,-9,-100.0,1.15,1.26,-0.11,13.0,13.0,0.0,0,0,0,0,714,9,780,-9,10.5,57.0,commercial,service,True,False,False,False,False
https://dreamlab.id/about-us/,/about-us/,9,3,6,200.0,0.96,0.54,0.42,16.1,8.1,8.0,3,4,186,667,560,15,1474,6,10.3,36.3,company,company_or_service,False,False,False,True,False
https://dreamlab.id/jasa-maklon-parfum-bali-terbaik-terlengkap/#Miliki_Brand_Parfum_Eksklusif,/jasa-maklon-parfum-bali-terbaik-terlengkap/#Miliki_Brand_Parfum_Eksklusif/,0,0,0,,0.0,0.0,0.0,8.8,8.6,0.2,0,0,45,196,258,0,507,0,9.8,50.4,commercial,service_landing,True,False,False,True,False
https://dreamlab.id/basic-skincare-pria-wajib/,/basic-skincare-pria-wajib/,1,1,0,0.0,0.12,0.29,-0.17,11.1,14.4,-3.3,0,0,113,403,344,4,1190,0,9.6,53.8,commercial,article,True,True,False,False,True
https://dreamlab.id/jasa-maklon-parfum-bali-terbaik-terlengkap/#Miliki_brand_parfum_dengan_aroma_Custom,/jasa-maklon-parfum-bali-terbaik-terlengkap/#Miliki_brand_parfum_dengan_aroma_Custom/,0,0,0,,0.0,0.0,0.0,8.8,8.6,0.2,0,0,43,190,252,0,492,0,9.5,50.3,commercial,service_landing,True,False,False,True,False
https://dreamlab.id/maklon-parfum-makassar/,/maklon-parfum-makassar/,17,4,13,325.0,2.42,1.79,0.64,7.7,8.8,-1.2,10,3,89,356,224,24,805,13,9.2,53.2,commercial,service,True,False,False,False,False
https://www.dreamlab.id/produk/skincare/sunscreen/,/produk/skincare/sunscreen/,0,0,0,,0.0,0.0,0.0,2.4,,,0,0,49,50,0,0,50,0,9.0,43.9,commercial,product,True,False,False,False,False
https://dreamlab.id/berapa-moq-maklon-skincare-di-dreamlab-ini-fakta-penting-untuk-pebisnis-pemula/,/berapa-moq-maklon-skincare-di-dreamlab-ini-fakta-penting-untuk-pebisnis-pemula/,7,1,6,600.0,2.25,0.66,1.59,9.8,11.7,-2.0,1,4,39,311,152,15,1124,6,8.6,32.6,brand,article,False,True,False,False,True
https://dreamlab.id/maklon-skincare-nad-plus-anti-aging/,/maklon-skincare-nad-plus-anti-aging/,6,4,2,50.0,2.05,1.48,0.57,7.6,7.4,0.1,0,2,75,293,271,13,786,2,8.6,52.3,commercial,service,True,False,False,False,False
https://dreamlab.id/cara-membuat-hb-dosting-sendiri/#Langkah_Mudah_Membuat_Brand_HB_Dosting_Sendiri,/cara-membuat-hb-dosting-sendiri/#Langkah_Mudah_Membuat_Brand_HB_Dosting_Sendiri/,0,0,0,,0.0,0.0,0.0,7.1,6.3,0.8,0,0,15,168,30,0,198,0,8.4,49.6,commercial,article,True,True,False,False,True
https://dreamlab.id/cara-membuat-hb-dosting-sendiri/#Kenapa_Bisnis_HB_Dosting_Sangat_Laris_di_Market,/cara-membuat-hb-dosting-sendiri/#Kenapa_Bisnis_HB_Dosting_Sangat_Laris_di_Market/,0,0,0,,0.0,0.0,0.0,7.1,6.3,0.8,0,0,15,168,30,0,198,0,8.4,49.6,commercial,article,True,True,False,False,True
https://dreamlab.id/maklon-kosmetik-jakarta-dreamlab-2026/,/maklon-kosmetik-jakarta-dreamlab-2026/,0,1,-1,-100.0,0.49,0.36,0.13,17.8,15.4,2.4,0,0,0,0,280,2,411,-1,8.3,53.9,brand,service,True,False,False,False,False
https://dreamlab.id/tren-sunscreen-2025-6-produk-yang-siap-jadi-bisnis/,/tren-sunscreen-2025-6-produk-yang-siap-jadi-bisnis/,0,4,-4,-100.0,0.0,1.86,-1.86,6.2,5.5,0.6,0,0,38,162,215,11,992,-4,8.1,49.5,commercial,article,True,True,False,False,True
https://dreamlab.id/maklon-parfum-custom-dreamlab/,/maklon-parfum-custom-dreamlab/,4,0,4,100,1.03,0.0,1.03,8.7,,,2,1,114,201,0,4,201,4,8.0,50.5,brand,service,True,False,False,False,False
https://dreamlab.id/jasa-maklon-parfum-bali-terbaik-terlengkap/#Apa_Saja_yang_Bisa_Anda_Custom_di_Dreamlab,/jasa-maklon-parfum-bali-terbaik-terlengkap/#Apa_Saja_yang_Bisa_Anda_Custom_di_Dreamlab/,0,0,0,,0.0,0.0,0.0,8.9,8.7,0.2,0,0,36,158,207,0,408,0,7.9,49.3,brand,service_landing,True,False,False,True,False
https://dreamlab.id/pengganti-hydroquinone-flek-hitam-aman/,/pengganti-hydroquinone-flek-hitam-aman/,3,3,0,0.0,1.4,2.97,-1.57,9.7,6.0,3.7,1,1,51,214,101,6,315,0,7.7,50.8,commercial,article,True,True,False,False,True
https://dreamlab.id/maklon-parfum-jakarta/,/maklon-parfum-jakarta/,0,22,-22,-100.0,3.72,3.72,0.0,8.7,8.7,0.0,0,0,0,0,592,22,592,-22,7.6,55.6,commercial,service,True,False,False,False,False
https://dreamlab.id/rahasia-perawatan-rambut-keriting-tetap-sehat-lembut-dan-terdefinisi/,/rahasia-perawatan-rambut-keriting-tetap-sehat-lembut-dan-terdefinisi/,1,1,0,0.0,0.32,2.17,-1.86,9.8,18.1,-8.3,0,0,10,161,46,3,427,0,7.5,49.4,commercial,article,True,True,False,False,True
https://dreamlab.id/cara-personal-banding/,/cara-personal-banding/,1,1,0,0.0,0.6,0.45,0.15,8.6,7.0,1.6,1,0,34,168,224,5,826,0,7.4,29.6,informational,article,False,True,False,False,True
https://dreamlab.id/maklon-kosmetik-tangerang-terpercaya/,/maklon-kosmetik-tangerang-terpercaya/,6,5,1,20.0,0.74,0.84,-0.1,13.2,14.1,-0.9,3,2,148,412,595,11,1054,1,7.3,53.9,commercial,service,True,False,False,False,False
https://dreamlab.id/atur-kosmetik-halal-dreamlab/,/atur-kosmetik-halal-dreamlab/,3,4,-1,-25.0,0.74,0.72,0.03,10.1,8.9,1.2,0,3,53,403,557,8,1012,-1,7.1,33.8,brand,article,False,True,False,False,True
https://dreamlab.id/category/dreamlab/,/category/dreamlab/,0,0,0,,0.0,0.0,0.0,8.9,,,0,0,0,0,0,0,139,0,7.0,48.7,brand,category,True,False,True,False,False
