query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
jasa maklon hand sanitizer,0,0,0,,8,0,8,0.0,0.0,,12.9,,,0,0,0,8,stable,commercial,False
jasa maklon handbody,0,0,0,,7,0,7,0.0,0.0,,17.1,,,0,0,0,7,stable,commercial,False
jasa maklon heat protectant,0,0,0,,5,0,5,0.0,0.0,,11.0,,,0,0,0,5,stable,commercial,False
jasa maklon kosmetik,3,0,3,100,74,4,70,4.05,0.0,,18.8,49.8,-30.9,3,0,3,86,growing,commercial,False
jasa maklon kosmetik jakarta,0,0,0,,3,9,-6,0.0,0.0,,18.7,31.7,-13.0,0,0,0,13,stable,commercial,False
jasa maklon kosmetik tangerang,0,0,0,,25,34,-9,0.0,0.0,,17.2,17.8,-0.6,0,0,0,61,stable,commercial,False
jasa maklon lip changing color,0,0,0,,1,0,1,0.0,0.0,,12.0,,,0,0,0,1,stable,commercial,False
jasa maklon lip scrub,0,0,0,,6,0,6,0.0,0.0,,16.0,,,0,0,0,6,stable,commercial,False
jasa maklon lip tint,0,0,0,,4,0,4,0.0,0.0,,18.5,,,0,0,0,4,stable,commercial,False
jasa maklon lip velvet,0,0,0,,1,0,1,0.0,0.0,,15.0,,,0,0,0,1,stable,commercial,False
jasa maklon lipstick,0,0,0,,9,0,9,0.0,0.0,,16.0,,,0,0,0,9,stable,commercial,False
jasa maklon loose powder,0,0,0,,3,0,3,0.0,0.0,,15.3,,,0,0,0,3,stable,commercial,False
jasa maklon masker,0,0,0,,2,0,2,0.0,0.0,,12.5,,,0,0,0,2,stable,commercial,False
jasa maklon scalp scrub,0,0,0,,12,0,12,0.0,0.0,,19.8,,,0,0,0,12,stable,commercial,False
jasa maklon shampoo,0,0,0,,1,0,1,0.0,0.0,,18.0,,,0,0,0,1,stable,commercial,False
jasa maklon skincare terbaik,0,0,0,,19,17,2,0.0,0.0,,16.0,42.2,-26.1,0,0,0,53,stable,commercial,False
jenis vitamin c skincare,0,0,0,,3,0,3,0.0,0.0,,18.0,,,0,0,0,3,stable,informational,False
joylab parfum,0,0,0,,1,0,1,0.0,0.0,,20.0,,,0,0,0,1,stable,other,False
kalo yang ini gimana,0,0,0,,1,0,1,0.0,0.0,,15.0,,,0,0,0,1,stable,other,False
kandungan parfum dan alcohol yang ada dalam produk melto masing-masing adalah adalah … dan ….,0,0,0,,41,0,41,0.0,0.0,,11.2,,,0,0,0,41,stable,other,False
kata kata promosi klinik kecantikan,0,0,0,,2,0,2,0.0,0.0,,14.0,,,0,0,0,4,stable,other,False
kata kata promosi skincare,0,0,0,,4,74,-70,0.0,0.0,,15.2,2.1,13.2,0,0,0,93,stable,other,False
kata kosmetik,0,0,0,,1,0,1,0.0,0.0,,13.0,,,0,0,0,2,stable,other,False
