folder,clicks_c90,impressions_c90,clicks_p90,impressions_p90,ctr_c90,ctr_p90,clicks_delta,clicks_growth_pct
/google-ads/,0.0,12.0,0.0,0.0,0.0,,0,
/flywheel-marketing-brand-skincare/,0.0,0.0,0.0,13.0,,0.0,0,
/formulasi-witch-hazel/,0.0,26.0,0.0,5.0,0.0,0.0,0,
/mudahnya-menjadi-owner-parfum-sendiri-ciptakan-brand-wewangian-eksklusif-tanpa-ribet/,0.0,92.0,0.0,55.0,0.0,0.0,0,
/moq-maklon-kosmetik/,0.0,2.0,0.0,0.0,0.0,,0,
/pabrik-parfum-surabaya-biaya-2026/,0.0,0.0,2.0,85.0,,2.35,-2,-100.0
/pabrik-parfum-makasar/,0.0,38.0,10.0,289.0,0.0,3.46,-10,-100.0
/maklon-parfum-bpom-indonesia-strategi-bisnis/,0.0,15.0,0.0,84.0,0.0,0.0,0,
/maklon-moisturizer-bpom-dreamlab/,0.0,2.0,0.0,33.0,0.0,0.0,0,
/maklon-kosmetik-terbaik-english/,0.0,11.0,0.0,1.0,0.0,0.0,0,
/maklon-kosmetik-terbaik-bahasa/,0.0,1.0,1.0,22.0,0.0,4.55,-1,-100.0
/maklon-kosmetik-jakarta-dreamlab-2026/,0.0,0.0,1.0,298.0,,0.34,-1,-100.0
/maklon-kosmetik-parfum-tangerang/,0.0,0.0,9.0,714.0,,1.26,-9,-100.0
/omset-moisturizer-naik-tajam-dreamlab-bisnis-skincare/,0.0,25.0,0.0,12.0,0.0,0.0,0,
/optimasi-penjualan-tiktok-shop/,0.0,111.0,0.0,196.0,0.0,0.0,0,
/manfaat-panthenol-untuk-wajah-kering/,0.0,975.0,0.0,1163.0,0.0,0.0,0,
/melembutkan-kulit-bersisik/,0.0,1.0,0.0,12.0,0.0,0.0,0,
/maklon-scalp-haircare-bisnis-produk-rambut-sehat/,0.0,0.0,0.0,2.0,,0.0,0,
/maklon-parfum-jakarta/,0.0,0.0,22.0,626.0,,3.51,-22,-100.0
/maklon-shampoo-psoriasis-formula-juara/,0.0,6.0,0.0,103.0,0.0,0.0,0,
/maklon-skincare-surabaya-umkm/,0.0,0.0,4.0,428.0,,0.93,-4,-100.0
/maklon-skincare-untuk-brand-baru/,0.0,0.0,0.0,3.0,,0.0,0,
/maklon-skincare/,0.0,87.0,0.0,0.0,0.0,,0,
/panduan/,0.0,20.0,0.0,0.0,0.0,,0,
/pabrik-skincare-maklon/,0.0,236.0,0.0,192.0,0.0,0.0,0,
/rahasia-kulit-glowing-devina-karamoy/,0.0,123.0,1.0,154.0,0.0,0.65,-1,-100.0
/private-label-kosmetik/,0.0,44.0,0.0,0.0,0.0,,0,
/product-category/,0.0,1.0,0.0,0.0,0.0,,0,
/produk-haircare-yang-sedang-tren/,0.0,37.0,0.0,33.0,0.0,0.0,0,
/produk-viral-tiktok/,0.0,109.0,2.0,63.0,0.0,3.17,-2,-100.0
/produk-whitening-branding-claim/,0.0,97.0,3.0,79.0,0.0,3.8,-3,-100.0
/prediksi-tren-2026/,0.0,0.0,6.0,678.0,,0.88,-6,-100.0
/privacy-policy/,0.0,33.0,0.0,0.0,0.0,,0,
/penyebab-ingrown-hair/,0.0,215.0,1.0,91.0,0.0,1.1,-1,-100.0
/peluang-bisnis-deodorant/,0.0,23.0,0.0,0.0,0.0,,0,
/perbedaan-micellar-water-dan-toner/,0.0,148.0,0.0,236.0,0.0,0.0,0,
/perbedaan-edp-edt/,0.0,1984.0,0.0,42.0,0.0,0.0,0,
/perbedaan-privatelabel-vsodm/,0.0,215.0,1.0,491.0,0.0,0.2,-1,-100.0
/perusahaan-maklon-kosmetik/,0.0,19.0,2.0,143.0,0.0,1.4,-2,-100.0
/rekomendasi-maklon-kosmetik-terbaik-dreamlab/,0.0,53.0,0.0,0.0,0.0,,0,
/rahasia-maklon-parfum-jakarta/,0.0,0.0,7.0,245.0,,2.86,-7,-100.0
/sunscreen-spf-yang-cocok-untuk-kegiatan/,0.0,10.0,0.0,27.0,0.0,0.0,0,
/rincian-biaya-produksi-serum-wajah/,0.0,8.0,0.0,0.0,0.0,,0,
/rincian-biaya-produksi-serum/,0.0,1.0,0.0,0.0,0.0,,0,
/solusi-bisnis-body-serum-aha-2025-tren-pasar-maklon-dreamlab/,0.0,23.0,0.0,8.0,0.0,0.0,0,
/rekomendasi-skincare-musim-hujan-agar-kulit-tetap-sehat-dan-lembap/,0.0,59.0,0.0,37.0,0.0,0.0,0,
/thankyou-page/,0.0,12.0,0.0,2.0,0.0,0.0,0,
/tips-membuat-konten-viral/,0.0,23.0,0.0,38.0,0.0,0.0,0,
/tips-sukses-bisnis-parfum/,0.0,0.0,0.0,82.0,,0.0,0,
/thankyoupage-google/,0.0,3.0,0.0,0.0,0.0,,0,
/tips-membuat-hand-sanitizer-bisnis/,0.0,49.0,1.0,24.0,0.0,4.17,-1,-100.0
/thankyou/,0.0,9.0,0.0,0.0,0.0,,0,
/tren-parfum-arab-bisnis-maklon-dreamlab/,0.0,0.0,8.0,388.0,,2.06,-8,-100.0
/tren-sunscreen-2025-6-produk-yang-siap-jadi-bisnis/,0.0,162.0,4.0,215.0,0.0,1.86,-4,-100.0
/trend-aroma-parfum-disukai-market-2026/,0.0,20.0,0.0,0.0,0.0,,0,
