query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
perbedaan gel dan krim,0,0,0,,13,0,13,0.0,0.0,,9.2,,,0,0,0,24,stable,comparison,False
perbedaan hb booster dan hb dosting,0,0,0,,8,5,3,0.0,0.0,,1.2,1.0,0.2,0,0,0,13,stable,comparison,False
perbedaan hb dan dosting,0,0,0,,14,0,14,0.0,0.0,,5.6,,,0,0,0,14,stable,comparison,False
perbedaan hb dosting dan body lotion,0,0,0,,0,11,-11,0.0,0.0,,,5.2,,0,0,0,11,stable,comparison,False
perbedaan hb dosting dan hb booster,0,0,0,,24,5,19,0.0,0.0,,1.0,1.0,0.0,0,0,0,29,stable,comparison,False
perbedaan hb dosting dan hb bpom,0,0,0,,15,0,15,0.0,0.0,,8.5,,,0,0,0,15,stable,comparison,False
perbedaan hb dosting dan hb whitening,0,0,0,,16,0,16,0.0,0.0,,4.8,,,0,0,0,16,stable,comparison,False
perbedaan hb dosting noera kuning dan ungu,0,0,0,,0,2,-2,0.0,0.0,,,3.0,,0,0,0,2,stable,comparison,False
perbedaan kol dan affiliate,0,0,0,,37,59,-22,0.42,0.0,,11.3,4.6,6.7,0,0,1,238,stable,comparison,False
perbedaan krim dan gel,0,0,0,,12,0,12,0.0,0.0,,4.8,,,0,0,0,20,stable,comparison,False
perbedaan labore barrier revive cream dan skin nutrition gel,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,comparison,False
perbedaan labore moisturizer gel dan cream,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,3,stable,comparison,False
perbedaan micellar water dan toner,0,0,0,,10,24,-14,0.0,0.0,,22.6,27.2,-4.6,0,0,0,46,stable,comparison,False
perbedaan moist gel dan cream,0,0,0,,49,19,30,0.0,0.0,,7.4,7.9,-0.4,0,0,0,73,stable,comparison,False
perbedaan moisturizer cream dan gel,0,0,0,,79,53,26,0.52,0.0,,6.8,9.0,-2.1,0,0,1,191,stable,comparison,False
perbedaan moisturizer dan cream,0,0,0,,50,19,31,0.0,0.0,,12.8,23.2,-10.4,0,0,0,73,stable,comparison,False
perbedaan moisturizer gel dan cream,1,0,1,100,149,116,33,0.67,0.0,,7.8,9.9,-2.0,0,0,1,332,stable,comparison,False
perbedaan oem dan odm,0,0,0,,4,0,4,0.0,0.0,,50.8,,,0,0,0,4,stable,comparison,False
perbedaan parfum dan edp,0,0,0,,1,0,1,0.0,0.0,,34.0,,,0,0,0,2,stable,comparison,False
perbedaan parfum edp dan edt,0,0,0,,15,0,15,0.0,0.0,,21.7,,,0,0,0,18,stable,comparison,False
perbedaan parfum edt dan edp,0,0,0,,10,1,9,0.0,0.0,,20.0,1.0,19.0,0,0,0,46,stable,comparison,False
perbedaan parfume edp dan edt,0,0,0,,2,0,2,0.0,0.0,,12.5,,,0,0,0,3,stable,comparison,False
perbedaan salep krim dan gel,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,comparison,False
perbedaan salicylic acid dan succinic acid,0,0,0,,9,0,9,0.0,0.0,,11.2,,,0,0,0,9,stable,comparison,False
perbedaan soothing gel dan moisturizer,0,0,0,,3,0,3,0.0,0.0,,9.7,,,0,0,0,3,stable,comparison,False
perbedaan succinic acid dan salicylic acid,0,0,0,,4,0,4,0.0,0.0,,10.5,,,0,0,0,4,stable,comparison,False
perbedaan toner dan micelar water,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,3,stable,comparison,False
perbedaan toner dan micellar water,0,0,0,,20,61,-41,0.0,0.0,,24.9,32.6,-7.7,0,0,0,109,stable,comparison,False
perbedaan verile acne gel dan blemish cream,0,0,0,,0,1,-1,0.0,0.0,,,3.0,,0,0,0,1,stable,comparison,False
perbedaan vitacid gel dan cream,0,0,0,,2,0,2,0.0,0.0,,3.0,,,0,0,0,2,stable,comparison,False
perfume oil vs parfum,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,comparison,False
personal banding,0,0,0,,1,8,-7,0.0,0.0,,11.0,7.4,3.6,0,0,0,9,stable,comparison,False
saya ingin solusi skin barrier anti-aging—apa produk atau jenis teknologi yang sedang berkembang di pasaran id?,0,0,0,,2,0,2,0.0,0.0,,1.0,,,0,0,0,2,stable,comparison,False
saya tinggal di indonesia. produk atau perawatan apa untuk rambut sehat yang punya ketersediaan terbaik di pasaran?,0,0,0,,1,0,1,0.0,0.0,,1.0,,,0,0,0,1,stable,comparison,False
tahan edp atau edt,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,comparison,False
tahan lama edp atau edt,0,0,0,,1,0,1,0.0,0.0,,23.0,,,0,0,0,2,stable,comparison,False
tahan lama edt atau edp,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,comparison,False
untuk kulit kering lebih baik gel atau cream,0,0,0,,5,0,5,0.0,0.0,,10.8,,,0,0,0,5,stable,comparison,False
yang tahan lama edp atau edt,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,25,stable,comparison,False
