query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
merk skincare terbaik di indonesia,0,0,0,,0,2,-2,0.0,0.0,,,77.5,,0,0,0,2,stable,local,False
moida indonesia,0,0,0,,0,1,-1,0.0,0.0,,,2.0,,0,0,0,1,stable,local,False
morlab indonesia,0,0,0,,1,1,0,0.0,0.0,,19.0,32.0,-13.0,0,0,0,3,stable,local,False
morlabofficialindonesia,0,0,0,,1,0,1,0.0,0.0,,20.0,,,0,0,0,1,stable,local,False
nama pt kosmetik di indonesia,0,0,0,,3,0,3,0.0,0.0,,29.0,,,0,0,0,3,stable,local,False
natural skincare bali,0,0,0,,0,1,-1,0.0,0.0,,,20.0,,0,0,0,1,stable,local,False
nayue kosmetik indonesia,0,0,0,,0,2,-2,0.0,0.0,,,4.5,,0,0,0,2,stable,local,False
owner skincare terkaya di indonesia,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,local,False
parfum di indonesia,0,0,0,,0,1,-1,0.0,0.0,,,1.0,,0,0,0,1,stable,local,False
pasar kosmetik di indonesia,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,local,False
perkembangan industri kecantikan di indonesia,0,0,0,,0,8,-8,0.0,0.0,,,2.4,,0,0,0,11,stable,local,False
perkembangan industri kecantikan di indonesia 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,26,98,stable,local,False
perkembangan industri kosmetik di indonesia,0,0,0,,1,7,-6,0.0,0.0,,14.0,5.4,8.6,0,0,0,26,stable,local,False
perkembangan kosmetik di indonesia,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,10,stable,local,False
pertumbuhan industri kecantikan di indonesia,0,0,0,,1,0,1,0.0,0.0,,10.0,,,0,0,0,9,stable,local,False
pertumbuhan industri kosmetik di indonesia,0,1,-1,-100.0,3,25,-22,1.82,4.0,-2.18,9.3,3.9,5.4,0,0,1,55,stable,local,False
pertumbuhan industri kosmetik di indonesia 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,5,21,stable,local,False
pertumbuhan industri kosmetik indonesia 2025,0,0,0,,13,7,6,0.0,0.0,,3.9,5.3,-1.4,0,0,0,25,stable,local,False
pertumbuhan industri skincare di indonesia,0,0,0,,2,0,2,0.0,0.0,,17.5,,,0,0,0,2,stable,local,False
pertumbuhan kosmetik di indonesia,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,15,stable,local,False
perusahaan beauty di indonesia,0,0,0,,3,6,-3,0.0,0.0,,10.3,7.5,2.8,0,0,0,9,stable,local,False
perusahaan kecantikan di indonesia,0,0,0,,0,15,-15,0.0,0.0,,,5.4,,0,0,0,17,stable,local,False
perusahaan kecantikan terbesar di indonesia,0,0,0,,1,7,-6,0.0,0.0,,8.0,10.1,-2.1,0,0,0,9,stable,local,False
perusahaan kosmetik di bandung,0,0,0,,0,1,-1,0.0,0.0,,,10.0,,0,0,0,1,stable,local,False
